texture,drainage,moisture,organic_matter,compaction,water_retention,color,texture_code,drainage_code,moisture_code,om_code,compaction_code,retention_code,color_code,ph
sandy,poor,wet,high,compacted,moderate,red,0,2,2,2,2,1,5,5.59
clay,good,moderate,moderate,moderate,low,dark brown,5,0,1,1,1,0,3,6.9
loamy,good,moderate,low,moderate,high,dark brown,2,0,1,0,1,2,3,6.81
sandy-loam,moderate,dry,high,compacted,high,brown,1,1,0,2,2,2,2,6.21
sandy,moderate,wet,high,moderate,low,pale/white,0,1,2,2,1,0,0,5.89
sandy,poor,wet,high,moderate,moderate,red,0,2,2,2,1,1,5,5.08
silty,poor,dry,low,compacted,high,dark brown,3,2,0,0,2,2,3,6.66
sandy-loam,good,wet,low,moderate,high,black/dark,1,0,2,0,1,2,4,5.6
clay-loam,good,dry,moderate,loose,high,pale/white,4,0,0,1,0,2,0,7.04
clay,poor,wet,high,loose,high,yellow/tan,5,2,2,2,0,2,1,6.6
loamy,moderate,moderate,low,moderate,moderate,red,2,1,1,0,1,1,5,6.61
sandy,good,wet,moderate,loose,low,yellow/tan,0,0,2,1,0,0,1,5.96
sandy-loam,poor,dry,high,loose,low,brown,1,2,0,2,0,0,2,5.16
sandy-loam,good,dry,low,loose,moderate,brown,1,0,0,0,0,1,2,6.67
loamy,good,dry,high,moderate,low,black/dark,2,0,0,2,1,0,4,5.92
sandy-loam,good,wet,low,moderate,high,red,1,0,2,0,1,2,5,5.75
sandy-loam,good,dry,high,loose,moderate,red,1,0,0,2,0,1,5,5.69
clay,moderate,dry,moderate,compacted,high,brown,5,1,0,1,2,2,2,7.21
sandy,poor,dry,low,moderate,low,red,0,2,0,0,1,0,5,5.76
sandy,moderate,moderate,moderate,loose,moderate,brown,0,1,1,1,0,1,2,6.29
sandy-loam,poor,dry,high,moderate,low,pale/white,1,2,0,2,1,0,0,6.11
clay,poor,dry,low,moderate,low,dark brown,5,2,0,0,1,0,3,7.0
sandy,moderate,wet,low,loose,high,dark brown,0,1,2,0,0,2,3,6.2
sandy-loam,poor,wet,low,moderate,low,dark brown,1,2,2,0,1,0,3,5.77
sandy,moderate,wet,low,loose,moderate,dark brown,0,1,2,0,0,1,3,6.16
clay,poor,moderate,moderate,loose,moderate,red,5,2,1,1,0,1,5,6.6
loamy,good,dry,high,compacted,high,pale/white,2,0,0,2,2,2,0,6.43
clay,poor,dry,low,loose,high,red,5,2,0,0,0,2,5,6.14
silty,moderate,dry,high,compacted,low,red,3,1,0,2,2,0,5,6.36
clay-loam,poor,moderate,high,moderate,low,pale/white,4,2,1,2,1,0,0,6.5
sandy-loam,moderate,moderate,high,moderate,high,dark brown,1,1,1,2,1,2,3,5.83
sandy-loam,poor,wet,moderate,compacted,moderate,pale/white,1,2,2,1,2,1,0,5.68
silty,moderate,wet,low,loose,moderate,dark brown,3,1,2,0,0,1,3,6.65
clay,moderate,dry,moderate,compacted,moderate,red,5,1,0,1,2,1,5,6.61
clay,good,moderate,low,loose,high,pale/white,5,0,1,0,0,2,0,7.59
clay,good,wet,low,loose,moderate,pale/white,5,0,2,0,0,1,0,7.24
clay-loam,poor,wet,low,moderate,low,pale/white,4,2,2,0,1,0,0,6.96
clay-loam,poor,wet,moderate,loose,low,dark brown,4,2,2,1,0,0,3,5.95
clay-loam,moderate,wet,moderate,compacted,low,dark brown,4,1,2,1,2,0,3,6.28
clay,good,dry,low,compacted,low,yellow/tan,5,0,0,0,2,0,1,6.9
clay,poor,dry,moderate,loose,moderate,dark brown,5,2,0,1,0,1,3,6.48
loamy,good,wet,high,loose,high,red,2,0,2,2,0,2,5,5.94
clay-loam,good,wet,high,moderate,low,black/dark,4,0,2,2,1,0,4,6.63
silty,moderate,wet,low,loose,moderate,red,3,1,2,0,0,1,5,6.4
loamy,moderate,moderate,low,moderate,low,dark brown,2,1,1,0,1,0,3,6.86
clay,good,dry,low,loose,moderate,red,5,0,0,0,0,1,5,7.02
sandy,poor,moderate,low,moderate,moderate,pale/white,0,2,1,0,1,1,0,6.53
silty,moderate,moderate,high,moderate,high,brown,3,1,1,2,1,2,2,6.32
silty,poor,wet,high,loose,low,red,3,2,2,2,0,0,5,6.06
silty,moderate,wet,moderate,loose,low,yellow/tan,3,1,2,1,0,0,1,6.6
loamy,moderate,wet,high,moderate,high,pale/white,2,1,2,2,1,2,0,6.96
clay,poor,moderate,high,moderate,moderate,red,5,2,1,2,1,1,5,6.32
clay-loam,moderate,moderate,high,loose,high,dark brown,4,1,1,2,0,2,3,6.19
silty,moderate,dry,high,loose,low,pale/white,3,1,0,2,0,0,0,7.29
loamy,poor,wet,moderate,compacted,high,red,2,2,2,1,2,2,5,5.92
clay-loam,moderate,moderate,moderate,loose,low,black/dark,4,1,1,1,0,0,4,6.96
sandy-loam,poor,wet,moderate,moderate,high,dark brown,1,2,2,1,1,2,3,6.11
loamy,good,wet,high,compacted,high,red,2,0,2,2,2,2,5,6.12
silty,good,moderate,low,compacted,low,red,3,0,1,0,2,0,5,6.32
clay,poor,dry,moderate,moderate,moderate,dark brown,5,2,0,1,1,1,3,6.58
sandy,poor,moderate,moderate,loose,low,brown,0,2,1,1,0,0,2,5.61
silty,good,wet,moderate,moderate,moderate,yellow/tan,3,0,2,1,1,1,1,6.17
silty,good,moderate,low,moderate,low,brown,3,0,1,0,1,0,2,6.74
silty,poor,moderate,high,loose,low,pale/white,3,2,1,2,0,0,0,6.23
silty,good,dry,moderate,moderate,low,red,3,0,0,1,1,0,5,6.6
loamy,poor,dry,low,compacted,high,dark brown,2,2,0,0,2,2,3,6.4
sandy,good,moderate,high,compacted,moderate,black/dark,0,0,1,2,2,1,4,5.55
silty,moderate,wet,high,loose,low,yellow/tan,3,1,2,2,0,0,1,6.14
sandy-loam,good,moderate,moderate,compacted,moderate,pale/white,1,0,1,1,2,1,0,6.78
sandy-loam,moderate,wet,moderate,moderate,low,yellow/tan,1,1,2,1,1,0,1,6.11
clay-loam,good,moderate,moderate,compacted,high,pale/white,4,0,1,1,2,2,0,7.49
silty,good,moderate,moderate,compacted,low,pale/white,3,0,1,1,2,0,0,6.67
silty,good,wet,moderate,loose,low,black/dark,3,0,2,1,0,0,4,6.46
clay-loam,moderate,wet,low,compacted,low,pale/white,4,1,2,0,2,0,0,6.87
clay-loam,poor,wet,moderate,compacted,moderate,black/dark,4,2,2,1,2,1,4,6.32
silty,good,dry,low,moderate,high,dark brown,3,0,0,0,1,2,3,6.73
loamy,good,wet,low,compacted,low,pale/white,2,0,2,0,2,0,0,7.07
silty,good,moderate,low,compacted,low,pale/white,3,0,1,0,2,0,0,6.97
silty,poor,moderate,moderate,compacted,moderate,brown,3,2,1,1,2,1,2,5.93
loamy,poor,dry,high,compacted,high,pale/white,2,2,0,2,2,2,0,6.39
silty,moderate,wet,low,moderate,moderate,pale/white,3,1,2,0,1,1,0,7.17
silty,poor,wet,low,compacted,low,pale/white,3,2,2,0,2,0,0,6.18
sandy,moderate,dry,high,moderate,low,brown,0,1,0,2,1,0,2,5.8
clay-loam,poor,moderate,low,compacted,high,red,4,2,1,0,2,2,5,6.13
clay,moderate,wet,low,loose,high,brown,5,1,2,0,0,2,2,7.11
loamy,moderate,wet,moderate,moderate,low,dark brown,2,1,2,1,1,0,3,6.39
loamy,moderate,moderate,high,loose,high,yellow/tan,2,1,1,2,0,2,1,6.55
silty,good,dry,high,compacted,moderate,dark brown,3,0,0,2,2,1,3,6.25
loamy,good,wet,moderate,moderate,high,brown,2,0,2,1,1,2,2,6.72
clay-loam,moderate,dry,low,moderate,low,brown,4,1,0,0,1,0,2,6.94
loamy,moderate,moderate,low,compacted,low,pale/white,2,1,1,0,2,0,0,7.03
loamy,good,wet,low,compacted,low,pale/white,2,0,2,0,2,0,0,6.5
sandy-loam,good,moderate,low,loose,moderate,dark brown,1,0,1,0,0,1,3,5.75
clay-loam,good,dry,low,compacted,high,dark brown,4,0,0,0,2,2,3,7.15
silty,moderate,dry,high,moderate,moderate,brown,3,1,0,2,1,1,2,6.56
sandy-loam,good,moderate,high,moderate,moderate,black/dark,1,0,1,2,1,1,4,5.88
silty,moderate,wet,high,loose,moderate,dark brown,3,1,2,2,0,1,3,6.53
sandy-loam,poor,wet,low,loose,high,black/dark,1,2,2,0,0,2,4,5.55
clay,good,wet,moderate,moderate,moderate,brown,5,0,2,1,1,1,2,7.18
clay,moderate,wet,high,compacted,high,black/dark,5,1,2,2,2,2,4,6.72
loamy,good,wet,high,loose,low,black/dark,2,0,2,2,0,0,4,6.35
sandy,poor,moderate,high,compacted,low,pale/white,0,2,1,2,2,0,0,5.72
clay-loam,poor,dry,moderate,loose,low,yellow/tan,4,2,0,1,0,0,1,6.16
silty,poor,wet,low,compacted,moderate,pale/white,3,2,2,0,2,1,0,6.86
sandy-loam,good,moderate,low,moderate,low,pale/white,1,0,1,0,1,0,0,7.07
clay-loam,poor,dry,high,moderate,high,yellow/tan,4,2,0,2,1,2,1,6.79
silty,good,dry,high,loose,moderate,pale/white,3,0,0,2,0,1,0,6.8
clay,poor,dry,low,compacted,moderate,red,5,2,0,0,2,1,5,6.94
silty,poor,dry,moderate,compacted,moderate,dark brown,3,2,0,1,2,1,3,6.57
loamy,poor,moderate,moderate,moderate,low,yellow/tan,2,2,1,1,1,0,1,6.1
sandy,good,wet,moderate,compacted,moderate,black/dark,0,0,2,1,2,1,4,5.41
silty,good,moderate,low,moderate,moderate,brown,3,0,1,0,1,1,2,6.94
clay-loam,moderate,dry,moderate,loose,high,red,4,1,0,1,0,2,5,6.41
loamy,poor,moderate,low,moderate,low,brown,2,2,1,0,1,0,2,6.75
sandy-loam,poor,dry,low,loose,moderate,dark brown,1,2,0,0,0,1,3,6.04
loamy,poor,dry,high,loose,moderate,yellow/tan,2,2,0,2,0,1,1,5.95
silty,moderate,dry,high,moderate,low,black/dark,3,1,0,2,1,0,4,6.56
sandy-loam,good,wet,low,moderate,low,yellow/tan,1,0,2,0,1,0,1,6.8
silty,good,moderate,high,moderate,moderate,yellow/tan,3,0,1,2,1,1,1,6.47
silty,poor,dry,high,moderate,high,pale/white,3,2,0,2,1,2,0,6.71
clay,poor,dry,low,loose,low,pale/white,5,2,0,0,0,0,0,7.53
clay,good,moderate,moderate,compacted,moderate,black/dark,5,0,1,1,2,1,4,6.43
clay,moderate,wet,low,moderate,high,pale/white,5,1,2,0,1,2,0,7.16
clay,poor,dry,low,loose,high,black/dark,5,2,0,0,0,2,4,6.78
clay-loam,moderate,dry,low,compacted,low,yellow/tan,4,1,0,0,2,0,1,6.54
silty,moderate,dry,moderate,moderate,moderate,pale/white,3,1,0,1,1,1,0,7.05
sandy,poor,dry,moderate,loose,high,yellow/tan,0,2,0,1,0,2,1,6.16
sandy,good,wet,low,loose,moderate,yellow/tan,0,0,2,0,0,1,1,6.14
sandy,moderate,dry,high,loose,low,black/dark,0,1,0,2,0,0,4,5.56
sandy,poor,dry,moderate,loose,low,dark brown,0,2,0,1,0,0,3,5.71
sandy-loam,moderate,moderate,low,compacted,low,black/dark,1,1,1,0,2,0,4,6.24
sandy,moderate,dry,moderate,compacted,low,brown,0,1,0,1,2,0,2,5.72
sandy-loam,good,dry,high,loose,high,red,1,0,0,2,0,2,5,5.62
sandy,poor,dry,moderate,loose,high,yellow/tan,0,2,0,1,0,2,1,6.3
sandy,poor,moderate,low,compacted,moderate,black/dark,0,2,1,0,2,1,4,5.55
sandy,poor,wet,moderate,compacted,low,pale/white,0,2,2,1,2,0,0,5.62
silty,good,dry,high,loose,high,black/dark,3,0,0,2,0,2,4,6.33
silty,good,dry,moderate,moderate,high,yellow/tan,3,0,0,1,1,2,1,6.85
silty,moderate,dry,moderate,loose,moderate,red,3,1,0,1,0,1,5,6.37
clay-loam,poor,wet,moderate,moderate,high,red,4,2,2,1,1,2,5,6.18
loamy,moderate,moderate,low,compacted,high,black/dark,2,1,1,0,2,2,4,7.25
silty,good,wet,low,loose,low,red,3,0,2,0,0,0,5,6.65
sandy-loam,poor,wet,moderate,loose,low,dark brown,1,2,2,1,0,0,3,5.71
loamy,good,moderate,low,loose,low,brown,2,0,1,0,0,0,2,6.47
clay,moderate,wet,high,moderate,high,red,5,1,2,2,1,2,5,6.79
sandy-loam,poor,moderate,high,loose,moderate,pale/white,1,2,1,2,0,1,0,6.22
clay,good,wet,low,loose,high,yellow/tan,5,0,2,0,0,2,1,6.86
sandy-loam,good,dry,moderate,compacted,moderate,pale/white,1,0,0,1,2,1,0,6.37
sandy-loam,good,dry,high,compacted,low,dark brown,1,0,0,2,2,0,3,5.74
sandy-loam,moderate,moderate,moderate,loose,low,red,1,1,1,1,0,0,5,6.02
sandy,good,dry,low,loose,low,yellow/tan,0,0,0,0,0,0,1,6.43
sandy,good,dry,moderate,moderate,moderate,dark brown,0,0,0,1,1,1,3,6.19
clay-loam,good,wet,moderate,compacted,high,brown,4,0,2,1,2,2,2,6.64
loamy,good,moderate,low,compacted,high,pale/white,2,0,1,0,2,2,0,7.11
clay-loam,good,dry,low,compacted,high,red,4,0,0,0,2,2,5,6.97
sandy-loam,poor,wet,low,loose,low,black/dark,1,2,2,0,0,0,4,5.52
sandy-loam,good,wet,high,moderate,low,red,1,0,2,2,1,0,5,5.82
sandy,good,moderate,moderate,loose,moderate,brown,0,0,1,1,0,1,2,5.9
silty,poor,moderate,low,moderate,high,black/dark,3,2,1,0,1,2,4,6.22
clay-loam,poor,dry,moderate,compacted,high,yellow/tan,4,2,0,1,2,2,1,6.11
loamy,poor,dry,low,loose,low,brown,2,2,0,0,0,0,2,6.84
silty,poor,dry,high,compacted,low,yellow/tan,3,2,0,2,2,0,1,6.37
loamy,poor,dry,moderate,compacted,low,dark brown,2,2,0,1,2,0,3,6.33
silty,good,wet,high,loose,low,brown,3,0,2,2,0,0,2,6.96
silty,good,wet,low,loose,low,red,3,0,2,0,0,0,5,6.52
clay,poor,moderate,moderate,loose,low,red,5,2,1,1,0,0,5,6.26
sandy,good,wet,high,compacted,high,pale/white,0,0,2,2,2,2,0,6.4
loamy,moderate,moderate,high,loose,high,black/dark,2,1,1,2,0,2,4,6.15
clay-loam,poor,dry,high,moderate,high,pale/white,4,2,0,2,1,2,0,6.36
loamy,moderate,dry,high,compacted,low,pale/white,2,1,0,2,2,0,0,6.47
clay,good,moderate,moderate,loose,moderate,dark brown,5,0,1,1,0,1,3,6.89
loamy,poor,wet,moderate,loose,moderate,red,2,2,2,1,0,1,5,5.86
clay,moderate,dry,moderate,loose,moderate,dark brown,5,1,0,1,0,1,3,6.63
sandy,good,wet,moderate,loose,high,pale/white,0,0,2,1,0,2,0,6.13
loamy,good,wet,high,moderate,moderate,pale/white,2,0,2,2,1,1,0,6.43
sandy,good,dry,high,loose,moderate,brown,0,0,0,2,0,1,2,5.84
clay-loam,good,wet,low,moderate,moderate,yellow/tan,4,0,2,0,1,1,1,6.63
clay-loam,moderate,moderate,moderate,moderate,moderate,black/dark,4,1,1,1,1,1,4,6.35
loamy,good,wet,low,moderate,low,brown,2,0,2,0,1,0,2,6.9
sandy-loam,poor,dry,high,loose,high,black/dark,1,2,0,2,0,2,4,5.08
sandy-loam,moderate,moderate,moderate,loose,moderate,black/dark,1,1,1,1,0,1,4,6.01
loamy,moderate,moderate,high,compacted,moderate,red,2,1,1,2,2,1,5,6.37
silty,good,moderate,high,moderate,moderate,black/dark,3,0,1,2,1,1,4,6.53
sandy,poor,dry,high,moderate,high,red,0,2,0,2,1,2,5,5.34
clay-loam,moderate,moderate,moderate,compacted,high,pale/white,4,1,1,1,2,2,0,7.03
clay,moderate,wet,low,compacted,low,brown,5,1,2,0,2,0,2,7.08
clay,good,moderate,low,loose,moderate,black/dark,5,0,1,0,0,1,4,7.07
sandy-loam,good,moderate,high,compacted,moderate,dark brown,1,0,1,2,2,1,3,6.03
clay,poor,wet,low,loose,low,red,5,2,2,0,0,0,5,6.74
sandy,poor,wet,moderate,moderate,high,dark brown,0,2,2,1,1,2,3,5.34
silty,poor,dry,low,compacted,low,black/dark,3,2,0,0,2,0,4,6.18
sandy-loam,poor,wet,low,loose,low,red,1,2,2,0,0,0,5,5.95
loamy,good,dry,low,compacted,moderate,black/dark,2,0,0,0,2,1,4,6.19
clay,moderate,dry,moderate,compacted,high,brown,5,1,0,1,2,2,2,7.14
sandy-loam,good,dry,low,compacted,moderate,pale/white,1,0,0,0,2,1,0,6.84
sandy-loam,poor,dry,moderate,compacted,low,yellow/tan,1,2,0,1,2,0,1,6.11
sandy,moderate,wet,high,loose,moderate,pale/white,0,1,2,2,0,1,0,6.17
loamy,good,moderate,moderate,loose,high,red,2,0,1,1,0,2,5,6.52
silty,poor,dry,low,compacted,moderate,dark brown,3,2,0,0,2,1,3,6.33
loamy,moderate,wet,high,loose,high,red,2,1,2,2,0,2,5,5.9
silty,poor,moderate,moderate,moderate,low,pale/white,3,2,1,1,1,0,0,6.75
silty,moderate,moderate,low,compacted,low,pale/white,3,1,1,0,2,0,0,6.88
clay-loam,good,moderate,low,moderate,low,yellow/tan,4,0,1,0,1,0,1,6.63
clay,good,moderate,low,compacted,low,red,5,0,1,0,2,0,5,6.6
sandy,good,dry,high,compacted,moderate,red,0,0,0,2,2,1,5,6.28
loamy,good,wet,moderate,loose,moderate,red,2,0,2,1,0,1,5,6.24
loamy,poor,wet,moderate,loose,high,dark brown,2,2,2,1,0,2,3,5.99
clay,moderate,wet,moderate,loose,low,black/dark,5,1,2,1,0,0,4,7.07
sandy,moderate,moderate,high,loose,low,dark brown,0,1,1,2,0,0,3,5.69
clay,moderate,dry,low,moderate,low,brown,5,1,0,0,1,0,2,7.12
sandy,good,dry,moderate,moderate,high,black/dark,0,0,0,1,1,2,4,5.82
sandy-loam,poor,wet,moderate,compacted,high,black/dark,1,2,2,1,2,2,4,5.28
clay,poor,wet,moderate,compacted,moderate,black/dark,5,2,2,1,2,1,4,6.31
clay-loam,poor,dry,moderate,compacted,high,black/dark,4,2,0,1,2,2,4,6.59
clay-loam,good,wet,moderate,compacted,low,red,4,0,2,1,2,0,5,6.86
sandy-loam,good,moderate,high,compacted,high,black/dark,1,0,1,2,2,2,4,5.82
loamy,good,dry,low,compacted,low,yellow/tan,2,0,0,0,2,0,1,6.63
clay,good,wet,moderate,compacted,moderate,pale/white,5,0,2,1,2,1,0,7.48
clay-loam,good,wet,low,loose,low,red,4,0,2,0,0,0,5,6.43
clay,moderate,dry,moderate,loose,moderate,yellow/tan,5,1,0,1,0,1,1,6.89
silty,moderate,wet,moderate,compacted,moderate,black/dark,3,1,2,1,2,1,4,6.64
silty,good,wet,high,loose,high,dark brown,3,0,2,2,0,2,3,6.0
sandy,good,wet,moderate,loose,high,brown,0,0,2,1,0,2,2,6.24
sandy,good,wet,low,loose,moderate,pale/white,0,0,2,0,0,1,0,6.59
silty,good,dry,low,loose,moderate,yellow/tan,3,0,0,0,0,1,1,6.71
clay-loam,moderate,moderate,high,loose,high,red,4,1,1,2,0,2,5,6.36
silty,poor,moderate,low,moderate,high,brown,3,2,1,0,1,2,2,7.26
silty,poor,moderate,moderate,loose,moderate,dark brown,3,2,1,1,0,1,3,5.98
sandy,good,dry,high,compacted,moderate,dark brown,0,0,0,2,2,1,3,5.29
sandy-loam,good,dry,moderate,compacted,high,red,1,0,0,1,2,2,5,6.36
sandy,poor,moderate,moderate,moderate,low,dark brown,0,2,1,1,1,0,3,5.12
silty,poor,moderate,low,loose,low,dark brown,3,2,1,0,0,0,3,6.62
loamy,good,dry,moderate,compacted,low,brown,2,0,0,1,2,0,2,6.53
sandy,moderate,wet,low,compacted,high,pale/white,0,1,2,0,2,2,0,6.38
loamy,good,moderate,high,moderate,low,brown,2,0,1,2,1,0,2,6.87
silty,poor,moderate,moderate,loose,low,pale/white,3,2,1,1,0,0,0,7.21
clay,moderate,wet,moderate,compacted,high,brown,5,1,2,1,2,2,2,7.01
silty,poor,dry,high,compacted,high,brown,3,2,0,2,2,2,2,6.17
sandy-loam,poor,moderate,high,compacted,high,dark brown,1,2,1,2,2,2,3,5.81
loamy,good,wet,high,compacted,high,yellow/tan,2,0,2,2,2,2,1,6.2
silty,moderate,moderate,high,compacted,low,dark brown,3,1,1,2,2,0,3,6.16
silty,moderate,dry,low,moderate,moderate,red,3,1,0,0,1,1,5,6.22
silty,poor,wet,low,moderate,low,red,3,2,2,0,1,0,5,6.13
sandy,poor,moderate,moderate,compacted,moderate,yellow/tan,0,2,1,1,2,1,1,6.35
silty,good,dry,moderate,moderate,low,dark brown,3,0,0,1,1,0,3,6.38
clay,good,wet,low,loose,moderate,black/dark,5,0,2,0,0,1,4,6.87
sandy-loam,good,moderate,moderate,compacted,moderate,red,1,0,1,1,2,1,5,5.79
sandy-loam,poor,dry,high,compacted,low,pale/white,1,2,0,2,2,0,0,6.17
loamy,poor,moderate,moderate,loose,moderate,brown,2,2,1,1,0,1,2,6.07
sandy,good,moderate,high,moderate,low,red,0,0,1,2,1,0,5,5.57
silty,moderate,dry,high,moderate,high,dark brown,3,1,0,2,1,2,3,6.01
sandy-loam,good,dry,moderate,loose,low,brown,1,0,0,1,0,0,2,5.95
sandy-loam,moderate,wet,high,compacted,moderate,brown,1,1,2,2,2,1,2,5.65
sandy-loam,good,wet,low,compacted,moderate,black/dark,1,0,2,0,2,1,4,6.7
loamy,good,moderate,moderate,loose,low,brown,2,0,1,1,0,0,2,6.45
sandy-loam,moderate,dry,low,compacted,low,yellow/tan,1,1,0,0,2,0,1,5.93
clay,good,moderate,moderate,loose,high,brown,5,0,1,1,0,2,2,6.66
clay,good,wet,low,moderate,low,brown,5,0,2,0,1,0,2,7.3
clay,moderate,moderate,moderate,compacted,moderate,dark brown,5,1,1,1,2,1,3,6.88
sandy-loam,moderate,wet,low,loose,moderate,dark brown,1,1,2,0,0,1,3,5.6
sandy-loam,moderate,wet,high,loose,high,red,1,1,2,2,0,2,5,5.8
sandy,poor,moderate,high,loose,high,yellow/tan,0,2,1,2,0,2,1,5.83
silty,good,dry,low,compacted,low,brown,3,0,0,0,2,0,2,6.69
clay-loam,good,moderate,moderate,loose,low,pale/white,4,0,1,1,0,0,0,7.0
clay-loam,poor,dry,high,moderate,moderate,dark brown,4,2,0,2,1,1,3,6.17
loamy,moderate,moderate,moderate,loose,low,red,2,1,1,1,0,0,5,6.4
loamy,good,wet,low,loose,moderate,dark brown,2,0,2,0,0,1,3,6.42
loamy,good,wet,high,moderate,high,brown,2,0,2,2,1,2,2,6.85
sandy-loam,moderate,wet,moderate,compacted,moderate,yellow/tan,1,1,2,1,2,1,1,5.89
loamy,good,dry,high,compacted,low,red,2,0,0,2,2,0,5,6.48
clay-loam,moderate,wet,high,compacted,moderate,dark brown,4,1,2,2,2,1,3,5.83
clay,good,moderate,moderate,compacted,high,dark brown,5,0,1,1,2,2,3,6.71
clay-loam,moderate,dry,low,moderate,high,brown,4,1,0,0,1,2,2,6.9
silty,poor,wet,moderate,loose,moderate,pale/white,3,2,2,1,0,1,0,6.12
silty,poor,wet,low,compacted,moderate,brown,3,2,2,0,2,1,2,6.51
loamy,good,dry,low,loose,high,black/dark,2,0,0,0,0,2,4,6.67
loamy,moderate,moderate,high,moderate,low,pale/white,2,1,1,2,1,0,0,6.28
sandy-loam,good,moderate,moderate,moderate,low,dark brown,1,0,1,1,1,0,3,5.53
clay,poor,dry,high,moderate,moderate,dark brown,5,2,0,2,1,1,3,5.61
sandy-loam,good,wet,high,loose,moderate,brown,1,0,2,2,0,1,2,6.29
silty,poor,dry,high,compacted,moderate,brown,3,2,0,2,2,1,2,6.53
clay,good,dry,low,compacted,moderate,yellow/tan,5,0,0,0,2,1,1,7.46
sandy,poor,dry,high,moderate,high,pale/white,0,2,0,2,1,2,0,5.64
sandy,poor,wet,low,loose,moderate,pale/white,0,2,2,0,0,1,0,6.0
clay-loam,poor,wet,low,moderate,low,brown,4,2,2,0,1,0,2,6.49
loamy,good,dry,high,loose,high,brown,2,0,0,2,0,2,2,6.26
sandy-loam,poor,dry,moderate,compacted,high,dark brown,1,2,0,1,2,2,3,5.85
clay-loam,poor,wet,low,moderate,high,brown,4,2,2,0,1,2,2,7.42
clay-loam,moderate,moderate,moderate,compacted,high,black/dark,4,1,1,1,2,2,4,6.55
silty,poor,moderate,low,moderate,high,yellow/tan,3,2,1,0,1,2,1,6.39
sandy,good,dry,low,loose,moderate,dark brown,0,0,0,0,0,1,3,5.75
silty,poor,wet,low,moderate,high,black/dark,3,2,2,0,1,2,4,6.42
clay,moderate,wet,moderate,compacted,low,black/dark,5,1,2,1,2,0,4,6.49
clay-loam,poor,dry,low,compacted,low,dark brown,4,2,0,0,2,0,3,6.22
loamy,poor,moderate,low,moderate,high,pale/white,2,2,1,0,1,2,0,6.45
silty,poor,wet,moderate,loose,low,yellow/tan,3,2,2,1,0,0,1,6.18
sandy,moderate,moderate,low,moderate,low,dark brown,0,1,1,0,1,0,3,5.41
sandy-loam,poor,dry,high,loose,moderate,black/dark,1,2,0,2,0,1,4,5.61
sandy,good,moderate,low,moderate,high,black/dark,0,0,1,0,1,2,4,6.46
loamy,poor,wet,high,loose,high,black/dark,2,2,2,2,0,2,4,5.57
loamy,poor,moderate,low,loose,low,black/dark,2,2,1,0,0,0,4,6.39
sandy-loam,good,wet,moderate,loose,high,black/dark,1,0,2,1,0,2,4,6.18
sandy,poor,dry,low,loose,high,dark brown,0,2,0,0,0,2,3,5.79
loamy,poor,wet,moderate,moderate,high,dark brown,2,2,2,1,1,2,3,6.29
sandy-loam,good,wet,high,compacted,moderate,yellow/tan,1,0,2,2,2,1,1,5.92
clay,moderate,wet,high,compacted,high,dark brown,5,1,2,2,2,2,3,6.39
sandy,good,dry,high,loose,moderate,dark brown,0,0,0,2,0,1,3,6.15
clay-loam,good,wet,high,loose,low,red,4,0,2,2,0,0,5,6.45
silty,moderate,dry,moderate,loose,high,black/dark,3,1,0,1,0,2,4,6.24
sandy,poor,dry,moderate,loose,moderate,pale/white,0,2,0,1,0,1,0,6.04
loamy,moderate,dry,high,compacted,high,black/dark,2,1,0,2,2,2,4,6.04
clay-loam,moderate,wet,moderate,moderate,high,brown,4,1,2,1,1,2,2,6.63
loamy,moderate,moderate,moderate,loose,high,black/dark,2,1,1,1,0,2,4,6.39
clay,poor,wet,moderate,compacted,low,yellow/tan,5,2,2,1,2,0,1,6.57
sandy,moderate,moderate,low,loose,moderate,dark brown,0,1,1,0,0,1,3,5.98
sandy,good,dry,low,compacted,low,black/dark,0,0,0,0,2,0,4,5.76
clay,poor,wet,moderate,loose,low,yellow/tan,5,2,2,1,0,0,1,6.69
sandy,poor,wet,high,moderate,low,red,0,2,2,2,1,0,5,5.09
loamy,moderate,wet,moderate,moderate,high,dark brown,2,1,2,1,1,2,3,6.29
clay-loam,moderate,dry,low,compacted,high,black/dark,4,1,0,0,2,2,4,7.12
loamy,moderate,dry,high,loose,moderate,pale/white,2,1,0,2,0,1,0,7.01
sandy,poor,wet,low,loose,moderate,pale/white,0,2,2,0,0,1,0,6.43
sandy,moderate,wet,moderate,moderate,high,dark brown,0,1,2,1,1,2,3,6.23
silty,good,dry,high,loose,low,black/dark,3,0,0,2,0,0,4,5.87
sandy-loam,poor,dry,low,loose,low,brown,1,2,0,0,0,0,2,5.76
sandy,poor,moderate,low,compacted,moderate,black/dark,0,2,1,0,2,1,4,5.46
silty,poor,dry,moderate,compacted,low,yellow/tan,3,2,0,1,2,0,1,6.38
clay,poor,wet,low,moderate,low,yellow/tan,5,2,2,0,1,0,1,6.5
sandy-loam,poor,dry,moderate,moderate,high,black/dark,1,2,0,1,1,2,4,5.83
sandy,poor,wet,high,compacted,low,red,0,2,2,2,2,0,5,5.12
silty,good,dry,low,moderate,moderate,red,3,0,0,0,1,1,5,6.48
loamy,poor,wet,moderate,loose,moderate,dark brown,2,2,2,1,0,1,3,5.88
